기간,자치구,동,세대,인구,인구.1,인구.2,인구.3,인구.4,인구.5,인구.6,인구.7,인구.8,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2021.1/4,합계,합계,"4,400,403","9,828,094","4,774,856","5,053,238","9,598,484","4,667,524","4,930,960","229,610","107,332","122,278",2.18,"1,567,819"
2021.1/4,종로구,소계,"74,113","156,567","75,772","80,795","147,296","71,644","75,652","9,271","4,128","5,143",1.99,"27,781"
2021.1/4,종로구,사직동,"4,787","9,813","4,437","5,376","9,543","4,275","5,268",270,162,108,1.99,"1,834"
2021.1/4,종로구,삼청동,"1,259","2,803","1,346","1,457","2,530","1,211","1,319",273,135,138,2.01,641
2021.1/4,종로구,부암동,"4,294","10,069","4,825","5,244","9,819","4,690","5,129",250,135,115,2.29,"1,763"
2021.1/4,종로구,평창동,"7,532","18,491","8,601","9,890","18,308","8,518","9,790",183,83,100,2.43,"3,407"
2021.1/4,종로구,무악동,"3,075","8,425","3,926","4,499","8,380","3,907","4,473",45,19,26,2.73,"1,380"
2021.1/4,종로구,교남동,"4,468","10,384","4,806","5,578","10,230","4,729","5,501",154,77,77,2.29,"1,584"
2021.1/4,종로구,가회동,"2,019","4,297","2,005","2,292","4,203","1,952","2,251",94,53,41,2.08,876
2021.1/4,종로구,종로1.2.3.4가동,"5,279","8,449","4,939","3,510","7,227","4,320","2,907","1,222",619,603,1.37,"1,942"
2021.1/4,종로구,종로5·6가동,"3,466","5,691","3,086","2,605","5,264","2,847","2,417",427,239,188,1.52,"1,072"
2021.1/4,종로구,이화동,"4,304","7,895","3,675","4,220","7,399","3,490","3,909",496,185,311,1.72,"1,340"
2021.1/4,종로구,창신1동,"2,930","5,849","3,120","2,729","5,054","2,718","2,336",795,402,393,1.72,"1,266"
2021.1/4,종로구,창신2동,"4,156","9,391","4,786","4,605","8,198","4,214","3,984","1,193",572,621,1.97,"1,793"
2021.1/4,종로구,창신3동,"2,811","6,929","3,427","3,502","6,752","3,320","3,432",177,107,70,2.4,"1,206"
2021.1/4,종로구,숭인1동,"3,023","6,336","3,042","3,294","6,041","2,933","3,108",295,109,186,2,"1,206"
2021.1/4,종로구,숭인2동,"6,099","10,049","5,034","5,015","9,542","4,863","4,679",507,171,336,1.56,"1,607"
2021.1/4,종로구,청운효자동,"5,237","12,288","5,724","6,564","12,095","5,619","6,476",193,105,88,2.31,"2,149"
2021.1/4,종로구,혜화동,"9,374","19,408","8,993","10,415","16,711","8,038","8,673","2,697",955,"1,742",1.78,"2,715"
2021.1/4,중구,소계,"63,746","133,708","65,312","68,396","124,552","60,851","63,701","9,156","4,461","4,695",1.95,"24,767"
2021.1/4,중구,소공동,"1,199","3,106","1,595","1,511","2,143","1,050","1,093",963,545,418,1.79,300
2021.1/4,중구,회현동,"3,014","5,738","3,043","2,695","5,114","2,714","2,400",624,329,295,1.7,"1,564"
2021.1/4,중구,명동,"1,569","3,714","1,676","2,038","2,930","1,251","1,679",784,425,359,1.87,791
2021.1/4,중구,필동,"2,416","4,680","2,402","2,278","4,015","2,080","1,935",665,322,343,1.66,884
2021.1/4,중구,장충동,"2,692","5,301","2,633","2,668","4,566","2,298","2,268",735,335,400,1.7,854
2021.1/4,중구,광희동,"3,389","6,516","3,330","3,186","5,343","2,734","2,609","1,173",596,577,1.58,"1,225"
2021.1/4,중구,을지로동,"1,364","1,947","1,151",796,"1,796","1,076",720,151,75,76,1.32,511
2021.1/4,중구,신당5동,"5,403","10,848","5,256","5,592","10,501","5,104","5,397",347,152,195,1.94,"1,827"
2021.1/4,중구,황학동,"6,969","13,502","6,416","7,086","12,613","6,025","6,588",889,391,498,1.81,"2,045"
2021.1/4,중구,중림동,"5,803","12,615","6,301","6,314","12,310","6,139","6,171",305,162,143,2.12,"2,130"
2021.1/4,중구,신당동,"4,672","9,141","4,461","4,680","7,680","3,823","3,857","1,461",638,823,1.64,"1,479"
2021.1/4,중구,다산동,"6,959","14,607","7,051","7,556","14,141","6,856","7,285",466,195,271,2.03,"2,706"
2021.1/4,중구,약수동,"7,751","17,134","8,103","9,031","16,920","7,989","8,931",214,114,100,2.18,"3,823"
2021.1/4,중구,청구동,"6,375","14,109","6,690","7,419","13,894","6,587","7,307",215,103,112,2.18,"2,731"
2021.1/4,중구,동화동,"4,171","10,750","5,204","5,546","10,586","5,125","5,461",164,79,85,2.54,"1,897"
2021.1/4,용산구,소계,"112,881","243,336","118,120","125,216","229,013","110,181","118,832","14,323","7,939","6,384",2.03,"39,575"
2021.1/4,용산구,후암동,"8,548","17,843","8,656","9,187","17,360","8,418","8,942",483,238,245,2.03,"3,019"
2021.1/4,용산구,용산2가동,"5,372","11,264","5,494","5,770","9,879","4,758","5,121","1,385",736,649,1.84,"2,066"
2021.1/4,용산구,남영동,"5,334","8,049","4,852","3,197","7,544","4,604","2,940",505,248,257,1.41,"1,605"
2021.1/4,용산구,원효로2동,"6,111","14,268","6,707","7,561","14,140","6,652","7,488",128,55,73,2.31,"2,382"
2021.1/4,용산구,효창동,"4,405","10,369","4,908","5,461","10,251","4,849","5,402",118,59,59,2.33,"1,477"
2021.1/4,용산구,용문동,"5,419","12,327","5,881","6,446","12,207","5,824","6,383",120,57,63,2.25,"2,142"
2021.1/4,용산구,이촌1동,"10,138","28,516","13,431","15,085","27,739","13,006","14,733",777,425,352,2.74,"4,469"
2021.1/4,용산구,이촌2동,"3,754","8,628","4,054","4,574","8,547","4,019","4,528",81,35,46,2.28,"1,756"
2021.1/4,용산구,이태원1동,"3,892","8,543","4,430","4,113","6,822","3,281","3,541","1,721","1,149",572,1.75,"1,557"
