시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
서울특별시,종로구,가회동,4418,0.000442938,2
서울특별시,종로구,교남동,10634,0.00106614,0
서울특별시,종로구,무악동,8592,0.000861414,2
서울특별시,종로구,부암동,10333,0.001035962,2
서울특별시,종로구,사직동,9806,0.000983126,2
서울특별시,종로구,삼청동,2909,0.000291649,0
서울특별시,종로구,숭인동,16566,0.001660868,6
서울특별시,종로구,이화동,8111,0.00081319,2
서울특별시,종로구,종로1가,2112,0.000211744,0
서울특별시,종로구,종로2가,2112,0.000211744,0
서울특별시,종로구,종로3가,2112,0.000211744,0
서울특별시,종로구,종로4가,2113,0.000211844,0
서울특별시,종로구,종로5가,2845,0.000285233,0
서울특별시,종로구,종로6가,2846,0.000285333,2
서울특별시,종로구,창신동,22574,0.002263216,10
서울특별시,종로구,청운동,12633,0.001266555,4
서울특별시,종로구,평창동,18582,0.001862988,4
서울특별시,종로구,혜화동,19734,0.001978484,6
